Sample	Polarity	Peak ID	Lipid name	RT (min)	Precursor m/z	Height	Area	Adduct	Formula	Ontology	InChIKey	Annotation tag	m/z matched	MS/MS matched	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N
VZ0000099_PL_Pos	POS	9407	HexCer-NS d41:1; HexCer-NS d18:1/23:0; [M+H]+	14.357	798.68140	4136109	17895102	[M+H]+	C47H91NO8	GlcCer_NS	SJGWLQDELUWRDA-JMUUFCRMNA-N	430	True	True	0.700	0.722	0.906	6.00	0.75	1.674	34.93
VZ0000099_PL_Pos	POS	9424	SM 70:3;O2|SM 44:2;O2/26:1	14.365	841.71545	6827163	32403739	[M+H]+	C49H97N2O6P	SM	COJKBLRMUQCLEJ-LYGVRWTHNA-N	410	True	True	0.932	0.843	0.856	3.00	2.00	2.533	327.01
VZ0000099_PL_Pos	POS	9437	SM 66:1;O2|SM 42:1;O2/24:0	14.399	815.69971	642866144	3061007725	[M+H]+	C47H95N2O6P	SM	QEDPUVGSSDPBMD-OGSMZCTINA-N	410	True	True	0.869	0.920	0.688	2.00	2.00	2.464	9780.09
VZ0000099_PL_Pos	POS	9512	PC 34:2	14.444	758.56915	2995046	24824820	[M+H]+	C42H80NO8P	PC	RXPVDHQFHIMZPN-AUYXYSRINA-N	420	True	True	0.863	0.859	0.851	2.00	1.00	1.876	42.75
VZ0000099_PL_Pos	POS	9521	PC O-70:8	14.455	880.71515	6697356	35178387	[M+H]+	C52H98NO7P	EtherPC	GTIRUFCESMRLNB-XXXLRELONA-N	420	True	True	0.957	0.924	0.916	2.00	1.00	1.938	333.26
VZ0000099_PL_Pos	POS	9554	SM 70:2;O2|SM 44:2;O2/26:0	14.492	841.71478	3499543	16773062	[M+H]+	C49H97N2O6P	SM	SPCYSRNERQUGKU-KBYGSKCXNA-N	410	True	True	0.934	0.838	0.848	3.00	2.00	2.528	183.79
VZ0000099_PL_Pos	POS	9614	PC 42:2	14.561	870.69348	2120219	8962933	[M+H]+	C50H96NO8P	PC	LZCAQCSFNYERJW-HKOLQMFGNA-N	420	True	True	0.906	0.882	0.866	2.00	1.00	1.895	77.53
VZ0000099_PL_Pos	POS	9619	SM 67:1;O2|SM 43:1;O2/24:0	14.570	829.71545	31286586	140180881	[M+H]+	C48H97N2O6P	SM	DEAHJYCNYIJKGM-OHYVAXEENA-N	410	True	True	0.883	0.928	0.685	2.00	2.00	2.467	1802.21
VZ0000099_PL_Pos	POS	9648	PC O-72:7	14.590	906.73077	3938372	17594108	[M+H]+	C54H100NO7P	EtherPC	QMRLPXSGBKQVMZ-BOBJEXFLNA-N	420	True	True	0.949	0.922	0.913	2.00	1.00	1.934	580.03
VZ0000099_PL_Pos	POS	9653	SM 70:0;O2	14.601	817.71613	6544163	29822855	[M+H]+	C47H97N2O6P	SM	IODQAUUFSUVFJA-UHFFFAOYNA-N	420	True	True	0.913	0.852	0.873	3.00	1.00	1.895	825.08
